"","Two_grams","Frequency"
"1330","a spirit",75
"1331","a spiritual",20
"1332","a spokesman",142
"1333","a spokeswoman",38
"1334","a spot",31
"1335","a spotify",58
"1336","a spring",20
"1337","a st",58
"1338","a stable",30
"1339","a stadium",20
"1340","a standardized",45
"1341","a star",55
"1342","a starbucks",58
"1343","a state",158
"1344","a statement",227
"1345","a statewide",32
"1346","a statutory",34
"1347","a steady",33
"1348","a stellar",28
"1349","a step",36
"1350","a stephen",26
"1351","a stepping",98
"1352","a stern",29
"1353","a steward",27
"1354","a stick",84
"1355","a stigma",32
"1356","a stint",23
"1357","a store",53
"1358","a storm",23
"1359","a story",199
"1360","a strange",81
"1361","a street",20
"1362","a strengthening",26
"1363","a strong",306
"1364","a stronger",72
"1365","a strongly",27
"1366","a strongsville",45
"1367","a struggling",50
"1368","a stryker",23
"1369","a student",40
"1370","a study",104
"1371","a sub",22
"1372","a subsequent",26
"1373","a substantial",30
"1374","a success",24
"1375","a sudden",64
"1376","a sufficient",38
"1377","a suit",59
"1378","a suitable",27
"1379","a sulfur",44
"1380","a summer",57
"1381","a superb",39
"1382","a superficial",34
"1383","a supergirljust",35
"1384","a supplier",32
"1385","a support",27
"1386","a surge",20
"1387","a surmountable",27
"1388","a surplus",34
"1389","a surprise",102
"1390","a surprising",28
"1391","a survey",89
"1392","a survivors",25
"1393","a sushi",63
"1394","a sustainable",41
"1395","a sustained",31
"1396","a sweet",99
"1397","a sweeter",25
"1398","a swing",77
"1399","a swiss",47
"1400","a swivel",37
"1401","a sword",64
"1402","a sworn",21
"1403","a symbol",76
"1404","a system",123
"1405","a t",31
"1406","a taco",43
"1407","a tad",82
"1408","a tailspin",45
"1409","a tale",51
"1410","a talented",41
"1411","a talk",121
"1412","a tamil",22
